accession	superkingdom	phylum	class	order	family	genus	species
FOYF01000003.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. cl95
CP042243.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Crassaminicella	Crassaminicella thermophila
OAOP01000007.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus oleivorans
SOEG01000007.1		Bacillota	Clostridia	Halanaerobiales	Halobacteroidaceae	Orenia	Orenia marismortui
JAGHKQ010000002.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. 165
LOED01000010.1		Bacillota	Clostridia	Thermosediminibacterales	Thermosediminibacteraceae	Fervidicola	Fervidicola ferrireducens
WJEE01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	Gracilibacillus thailandensis
FOGL01000012.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	Gracilibacillus ureilyticus
VDGG01000002.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Psychrobacillus	Psychrobacillus soli
MLYR01000084.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. MUM 116
BMEY01000009.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Ornithinibacillus	Ornithinibacillus halotolerans
SLXK01000053.1		Bacillota	Bacilli	Bacillales	Sporolactobacillaceae	Scopulibacillus	Scopulibacillus darangshiensis
LR700942.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus sp. AE2B 122
BMEL01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus andaensis
AP017312.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus soli
CP007739.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus methanolicus
JRNX01000191.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus sp. BBL2006
ASQA01000013.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Viridibacillus	Viridibacillus arenosi
LWDV01000009.1		Bacillota	Clostridia	Halanaerobiales	Halobacteroidaceae	Orenia	Orenia metallireducens
FMZA01000004.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Melghirimyces	Melghirimyces thermohalophilus
JAMQJZ010000010.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Aquibacillus	Aquibacillus koreensis
AJLR01000045.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Schinkia	Schinkia azotoformans
FNQR01000003.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Thalassobacillus	Thalassobacillus cyri
QPJJ01000026.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Saliterribacillus	Saliterribacillus persicus
RWIV01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. HMF5848
QGTD01000019.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	Gracilibacillus dipsosauri
CP019698.1		Bacillota	Clostridia	Eubacteriales	Peptococcaceae	Desulforamulus	Desulforamulus ferrireducens
OAOP01000004.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus oleivorans
JRUN01000002.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Heyndrickxia ginsengihumi
BMIR01000001.1		Bacillota	Bacilli	Bacillales	Sporolactobacillaceae	Pullulanibacillus	Pullulanibacillus camelliae
FQVW01000032.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Ornithinibacillus	Ornithinibacillus halophilus
KI629782.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus panacihumi
FXTU01000002.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Laceyella	Laceyella tengchongensis
SLXK01000030.1		Bacillota	Bacilli	Bacillales	Sporolactobacillaceae	Scopulibacillus	Scopulibacillus darangshiensis
CP013659.2		Bacillota	Bacilli	Bacillales	Caryophanaceae	Planococcus	Planococcus rifietoensis
JABAIT010000005.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. DNRA2
JABTTE010000024.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Calidifontibacillus	Calidifontibacillus erzurumensis
VOHD01000003.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Planomicrobium	Planomicrobium sp. CPCC 101110
JXLL01000006.1		Bacillota	Tissierellia	Tissierellales	Thermohalobacteraceae	Caloranaerobacter	Caloranaerobacter sp. TR13
CCRF01000092.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Caldibacillus	Caldibacillus thermoamylovorans
LJJC01000004.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Heyndrickxia shackletonii
LS483476.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Lederbergia	Lederbergia lenta
AZRV01000013.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Caldibacillus	Caldibacillus debilis
BJXX01000047.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus danicus
BDGM02000031.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Tepidibacillus	Tepidibacillus sp. HK-1
FOOK01000002.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Planifilum	Planifilum fulgidum
LSKU01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Tepidibacillus	Tepidibacillus decaturensis
NKXN01000030.1		Bacillota	Bacilli	Bacillales	Bacillaceae		Bacillaceae bacterium SAS-127
CP001983.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Priestia	Priestia megaterium
FOHE01000009.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus limi
JAAIWN010000027.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus aquiflavi
LDPH01000019.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Niallia	Niallia circulans
LITT01000035.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium ljungdahlii
QBKR01000012.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Melghirimyces	Melghirimyces profundicolus
FZOJ01000022.1		Bacillota	Clostridia	Peptostreptococcales	Natronincolaceae	Anaerovirgula	Anaerovirgula multivorans
JPVO01000053.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus sinduriensis
SMAB01000021.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Tepidibacillus	Tepidibacillus fermentans
FNFP01000001.1		Bacillota	Clostridia	Peptostreptococcales	Natronincolaceae	Natronincola	Natronincola ferrireducens
FQXH01000010.1		Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Tepidibacter	Tepidibacter thalassicus
BJYL01000017.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Sporosarcina	Sporosarcina luteola
CP008876.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus aidingensis
JPVN01000009.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus manganicus
SMAG01000002.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Hazenella	Hazenella coriacea
ASQA01000008.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Viridibacillus	Viridibacillus arenosi
JACDUT010000003.1		Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Thermaerobacillus	Thermaerobacillus caldiproteolyticus
