accession	tax_id	organism	superkingdom	phylum	class	order	family	genus	species
A0A017RYU3	1403537	Fervidicella metallireducens AeB		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Fervidicella	Fervidicella metallireducens
A0A023DEU9	1220594	Parageobacillus caldoxylosilyticus NBRC 107762		Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Saccharococcus	Saccharococcus caldoxylosilyticus
A0A024P9G6	195088	Halobacillus karajensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus karajensis
A0A024P9Q7	195088	Halobacillus karajensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus karajensis
A0A024Q6B5	1462526	Virgibacillus massiliensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus massiliensis
A0A024QFE8	1462526	Virgibacillus massiliensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus massiliensis
A0A024QFR8	1462526	Virgibacillus massiliensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus massiliensis
A0A031WBS3	1496	Clostridioides difficile		Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
A0A059NYH2	195088	Halobacillus karajensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus karajensis
A0A060M1L6	1246626	Shouchella lehensis G1		Bacillota	Bacilli	Bacillales	Bacillaceae	Shouchella	Shouchella lehensis
A0A060M4S5	1246626	Shouchella lehensis G1		Bacillota	Bacilli	Bacillales	Bacillaceae	Shouchella	Shouchella lehensis
A0A063CML0	1396	Bacillus cereus		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
A0A063X901	1423	Bacillus subtilis		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
A0A072NPQ3	1348973	Schinkia azotoformans MEV2011		Bacillota	Bacilli	Bacillales	Bacillaceae	Schinkia	Schinkia azotoformans
A0A072NPX7	1348973	Schinkia azotoformans MEV2011		Bacillota	Bacilli	Bacillales	Bacillaceae	Schinkia	Schinkia azotoformans
A0A073K0D4	574376	Bacillus manliponensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus manliponensis
A0A073K4Q4	574376	Bacillus manliponensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus manliponensis
A0A073KCL2	574375	Bacillus gaemokensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus gaemokensis
A0A073KEX8	574375	Bacillus gaemokensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus gaemokensis
A0A073KF83	574375	Bacillus gaemokensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus gaemokensis
A0A074LQT5	1157490	Tumebacillus flagellatus		Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Tumebacillus	Tumebacillus flagellatus
A0A074LSV2	1157490	Tumebacillus flagellatus		Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Tumebacillus	Tumebacillus flagellatus
A0A074MBA7	1157490	Tumebacillus flagellatus		Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Tumebacillus	Tumebacillus flagellatus
A0A074MCV4	1157490	Tumebacillus flagellatus		Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Tumebacillus	Tumebacillus flagellatus
A0A075LF75	361277	Terribacillus saccharophilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus saccharophilus
A0A075LHH0	361277	Terribacillus saccharophilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus saccharophilus
A0A075LPD4	361277	Terribacillus saccharophilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus saccharophilus
A0A075LUS9	361277	Terribacillus saccharophilus		Bacillota	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus saccharophilus
A0A075R580	1042163	Brevibacillus laterosporus LMG 15441		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus laterosporus
A0A075RAQ9	1042163	Brevibacillus laterosporus LMG 15441		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus laterosporus
A0A078KIB6	29343	[Clostridium] cellulosi		Bacillota	Clostridia	Eubacteriales	Oscillospiraceae		[Clostridium] cellulosi
A0A081LAZ2	1178540	Bacillus zhangzhouensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus zhangzhouensis
A0A081LG08	1178540	Bacillus zhangzhouensis		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus zhangzhouensis
A0A081P061	1501230	Paenibacillus tyrfis		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus tyrfis
A0A081P279	1501230	Paenibacillus tyrfis		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus tyrfis
A0A081P3Q7	1501230	Paenibacillus tyrfis		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus tyrfis
A0A081P3Q8	1501230	Paenibacillus tyrfis		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus tyrfis
A0A084GKP4	246786	Metabacillus indicus		Bacillota	Bacilli	Bacillales	Bacillaceae	Metabacillus	Metabacillus indicus
A0A084H1Z6	246786	Metabacillus indicus		Bacillota	Bacilli	Bacillales	Bacillaceae	Metabacillus	Metabacillus indicus
A0A084IVA0	1405	Bacillus mycoides		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus mycoides
A0A084J7B2	318464	Clostridium sulfidigenes		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sulfidigenes
A0A084JAQ4	318464	Clostridium sulfidigenes		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sulfidigenes
A0A084JQA6	29354	Lacrimispora celerecrescens		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lacrimispora	Lacrimispora celerecrescens
A0A087LDQ0	1422	Geobacillus stearothermophilus		Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Geobacillus	Geobacillus stearothermophilus
A0A089ISU7	44251	Paenibacillus durus		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus durus
A0A089L904	160799	Paenibacillus borealis		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus borealis
A0A089LVE3	169760	Paenibacillus stellifer		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus stellifer
A0A089M293	189425	Paenibacillus graminis		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus graminis
A0A089M3B0	189425	Paenibacillus graminis		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus graminis
A0A089M6Y8	189425	Paenibacillus graminis		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus graminis
A0A089N0H0	169760	Paenibacillus stellifer		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus stellifer
A0A089NFB1	189425	Paenibacillus graminis		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus graminis
A0A089NIV1	189425	Paenibacillus graminis		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus graminis
A0A090IQA2	35841	Caldibacillus thermoamylovorans		Bacillota	Bacilli	Bacillales	Bacillaceae	Caldibacillus	Caldibacillus thermoamylovorans
A0A090J1J3	35841	Caldibacillus thermoamylovorans		Bacillota	Bacilli	Bacillales	Bacillaceae	Caldibacillus	Caldibacillus thermoamylovorans
A0A090J1P4	35841	Caldibacillus thermoamylovorans		Bacillota	Bacilli	Bacillales	Bacillaceae	Caldibacillus	Caldibacillus thermoamylovorans
A0A090KNI7	35841	Caldibacillus thermoamylovorans		Bacillota	Bacilli	Bacillales	Bacillaceae	Caldibacillus	Caldibacillus thermoamylovorans
A0A090XG28	44252	Paenibacillus macerans		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus macerans
A0A090Y750	44252	Paenibacillus macerans		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus macerans
A0A090Y835	44252	Paenibacillus macerans		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus macerans
A0A090YMM7	2338372	Bacillus clarus		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus clarus
A0A090Z2T9	44252	Paenibacillus macerans		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus macerans
A0A090ZC18	2338372	Bacillus clarus		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus clarus
A0A090ZHE1	44252	Paenibacillus macerans		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus macerans
A0A090ZJI9	44252	Paenibacillus macerans		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus macerans
A0A094WCJ5	1218173	Alkalihalobacillus alcalophilus ATCC 27647 = CGMCC 1.3604		Bacillota	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus	Alkalihalobacillus alcalophilus
A0A094WFF9	1218173	Alkalihalobacillus alcalophilus ATCC 27647 = CGMCC 1.3604		Bacillota	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus	Alkalihalobacillus alcalophilus
A0A094WGB6	1218173	Alkalihalobacillus alcalophilus ATCC 27647 = CGMCC 1.3604		Bacillota	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus	Alkalihalobacillus alcalophilus
A0A096BHS0	1156417	Caloranaerobacter azorensis H53214		Bacillota	Tissierellia	Tissierellales	Thermohalobacteraceae	Caloranaerobacter	Caloranaerobacter azorensis
A0A096DEB7	742738	Flavonifractor plautii 1_3_50AFAA		Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Flavonifractor	Flavonifractor plautii
A0A097ATF4	2325	Thermoanaerobacter kivui		Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	Thermoanaerobacter kivui
A0A098AWR5	49338	Desulfitobacterium hafniense		Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	Desulfitobacterium	Desulfitobacterium hafniense
A0A098B1L6	49338	Desulfitobacterium hafniense		Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	Desulfitobacterium	Desulfitobacterium hafniense
A0A098EPA9	1499687	Planococcus massiliensis		Bacillota	Bacilli	Bacillales	Caryophanaceae	Planococcus	Planococcus massiliensis
A0A098M817	268407	Paenibacillus wynnii		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus wynnii
